date,openPrice,highPrice,lowPrice,closePrice,adjustedPrice,volume
01/03/2021,1417.151123,1730.924194,1416.416138,1723.153809,1723.153809,1.59761E+11
08/03/2021,1724.229248,1937.645508,1670.942017,1854.564331,1854.564331,1.67055E+11
15/03/2021,1854.08667,1889.196655,1705.716064,1788.217041,1788.217041,1.64754E+11
22/03/2021,1788.362183,1811.968262,1560.370483,1691.355957,1691.355957,1.63726E+11
29/03/2021,1691.263184,2152.451904,1683.716553,2093.122803,2093.122803,1.99331E+11
05/04/2021,2093.260742,2196.996338,1945.442139,2157.656982,2157.656982,1.84033E+11
12/04/2021,2157.361816,2547.555664,2011.766846,2237.136963,2237.136963,2.38346E+11
19/04/2021,2238.032715,2641.094971,2060.143799,2316.05957,2316.05957,2.85052E+11
26/04/2021,2319.478027,2984.891846,2308.315186,2952.056152,2952.056152,2.20867E+11
03/05/2021,2951.175781,3981.259033,2951.175781,3928.844727,3928.844727,3.44595E+11
10/05/2021,3924.41333,4362.350586,3350.95166,3587.506104,3587.506104,4.00749E+11
17/05/2021,3581.343018,3587.765625,1737.46875,2109.579834,2109.579834,3.98442E+11
24/05/2021,2099.936035,2911.735596,2090.639648,2390.30542,2390.30542,2.78778E+11
31/05/2021,2387.198486,2891.254883,2279.505127,2715.092773,2715.092773,2.06114E+11
07/06/2021,2713.047363,2845.185059,2265.758057,2508.391602,2508.391602,2.14989E+11
14/06/2021,2508.770508,2639.229248,2049.962646,2246.364502,2246.364502,1.65998E+11
21/06/2021,2245.317871,2259.464111,1707.600586,1978.894653,1978.894653,1.81271E+11
28/06/2021,1981.386475,2384.286865,1963.615479,2321.724121,2321.724121,1.73236E+11
05/07/2021,2321.922852,2403.773438,2051.06665,2139.664795,2139.664795,1.41899E+11
12/07/2021,2140.506836,2167.710205,1853.590332,1895.552124,1895.552124,1.09461E+11
19/07/2021,1893.053589,2197.649414,1722.050781,2191.373779,2191.373779,1.17099E+11
26/07/2021,2191.309814,2695.429443,2154.731201,2561.852051,2561.852051,1.48899E+11
02/08/2021,2557.774658,3184.604004,2449.353516,3013.732666,3013.732666,1.89E+11
09/08/2021,3012.885742,3329.281006,2900.926025,3310.50415,3310.50415,1.77617E+11
16/08/2021,3309.422119,3333.994873,2959.02832,3242.115479,3242.115479,1.44658E+11
23/08/2021,3241.357422,3373.384277,3060.22876,3227.002686,3227.002686,1.22446E+11
30/08/2021,3227.192627,4022.469238,3151.44458,3952.133545,3952.133545,1.66432E+11
06/09/2021,3951.520752,3968.426514,3062.222412,3410.134521,3410.134521,1.71456E+11
13/09/2021,3407.471924,3673.310791,3121.51416,3329.447998,3329.447998,1.27465E+11
20/09/2021,3329.670654,3343.325439,2676.407471,3062.265381,3062.265381,1.65736E+11
27/09/2021,3065.837891,3484.605713,2786.988281,3418.358643,3418.358643,1.26511E+11
04/10/2021,3418.776367,3667.95752,3283.44873,3425.852783,3425.852783,1.20426E+11
11/10/2021,3419.726807,3962.453125,3385.761719,3847.104492,3847.104492,1.25797E+11
18/10/2021,3847.72998,4366.088379,3686.750488,4087.903076,4087.903076,1.31137E+11
25/10/2021,4084.425781,4455.735352,3905.706055,4288.074219,4288.074219,1.40412E+11
01/11/2021,4288.217285,4664.910156,4160.966797,4620.554688,4620.554688,1.21472E+11
08/11/2021,4619.649414,4859.50293,4485.093262,4626.358887,4626.358887,1.25753E+11
15/11/2021,4627.09082,4891.70459,3959.227783,4269.73291,4269.73291,1.37429E+11
22/11/2021,4266.509277,4550.842285,3933.506592,4294.453613,4294.453613,1.4118E+11
29/11/2021,4296.946777,4780.732422,3525.494141,4198.322754,4198.322754,1.86742E+11
06/12/2021,4199,4482.313965,3846.054443,4134.453125,4134.453125,1.528E+11
13/12/2021,4136.359863,4145.955078,3664.719971,3922.592529,3922.592529,1.52916E+11
20/12/2021,3923.695801,4149.026855,3759.40332,4067.328125,4067.328125,1.04768E+11
27/12/2021,4064.746338,4126.001465,3595.204834,3829.564941,3829.564941,91186714758
03/01/2022,3829.535645,3876.785156,3020.880859,3157.751465,3157.751465,1.21333E+11
10/01/2022,3157.570557,3401.219971,2947.683594,3350.921875,3350.921875,99393420484
17/01/2022,3350.947266,3355.819336,2330.247314,2535.039063,2535.039063,1.19849E+11
24/01/2022,2535.891113,2705.78418,2172.30127,2603.466553,2603.466553,1.17097E+11
31/01/2022,2603.263428,3061.26123,2489.072266,3057.476074,3057.476074,95160222839
07/02/2022,3057.422119,3271.316162,2845.397705,2883.463379,2883.463379,1.01267E+11
14/02/2022,2880.187744,3185.520752,2585.946289,2628.648438,2628.648438,91462217528
21/02/2022,2627.665527,2849.424072,2308.914795,2621.801758,2621.801758,1.22786E+11
28/02/2022,2621.172119,2929.18042,2586.388184,2919.201172,2919.201172,19266124733
01/03/2022,2937.020996,3028.741211,2869.707031,2958.123535,2958.123535,18724591616
